item_id,owner_id,category,model_name,daily_price,created_at,status
60,19,Drones,DJI Mini 3 Pro,30.67,2025-10-22 13:00:11,active
61,78,Drones,DJI Mini 3 Pro,27.44,2025-12-07 16:59:07,active
62,156,Cameras,Fujifilm X-T4,62.3,2025-09-27 07:30:48,active
63,151,Lighting,Aputure 120d II,74.71,2025-06-07 00:33:28,active
64,190,Drones,DJI Mini 3 Pro,80.68,2026-03-23 05:28:50,active
65,21,Cameras,Canon EOS R5,33.25,2024-11-02 03:39:22,active
66,1,Lighting,Aputure 120d II,87.38,2025-07-22 03:18:22,active
67,9,Cameras,Blackmagic Pocket 6K,89.23,2025-08-10 19:11:31,active
68,117,Drones,DJI Mini 3 Pro,112.01,2024-10-08 19:44:45,active
69,161,Cameras,Fujifilm X-T4,27.05,2025-07-10 05:47:06,active
70,39,Lenses,Canon RF 24-70mm,22.5,2024-05-26 02:48:02,active
71,79,Lenses,Sony FE 50mm f/1.2,28.06,2026-04-11 03:03:06,active
72,180,Lighting,Aputure 120d II,67.55,2025-04-14 22:35:10,active
73,21,Drones,Autel Evo Lite,92.13,2025-10-31 05:17:35,active
74,7,Drones,DJI Mini 3 Pro,116.0,2025-01-19 23:44:42,active
75,148,Drones,DJI Air 2S,75.51,2025-04-30 05:20:43,active
76,45,Lighting,Nanlite Forza 60,83.41,2024-11-10 12:53:32,inactive
77,47,Lighting,Nanlite Forza 60,100.5,2026-01-07 10:24:22,inactive
78,121,Lenses,Sony FE 50mm f/1.2,50.0,2026-04-13 17:52:49,active
79,42,Lenses,Sony FE 50mm f/1.2,87.84,2024-08-22 23:44:23,active
80,103,Drones,Autel Evo Lite,24.25,2025-07-31 15:20:39,active
81,30,Lighting,Nanlite Forza 60,101.62,2025-03-27 23:22:35,active
82,139,Lighting,Aputure 120d II,20.69,2025-01-06 22:12:06,active
83,160,Lighting,Nanlite Forza 60,61.41,2025-09-02 22:29:25,active
84,69,Cameras,Blackmagic Pocket 6K,61.0,2025-01-31 16:23:20,active
85,32,Drones,DJI Mini 3 Pro,89.53,2025-11-20 12:53:37,active
86,4,Lighting,Godox SL-60W,38.59,2025-08-23 02:36:00,active
87,30,Lighting,Godox SL-60W,83.01,2025-09-07 22:08:08,active
88,184,Lenses,Sigma 35mm Art,89.07,2026-03-06 01:43:11,active
89,124,Lighting,Godox SL-60W,62.96,2025-09-22 05:26:12,active
90,49,Cameras,Sony A7 IV,44.01,2025-08-13 04:03:54,active
91,107,Lenses,Sigma 35mm Art,43.05,2025-07-27 19:41:21,active
92,186,Lenses,Sigma 35mm Art,75.89,2025-02-15 19:08:00,active
93,39,Lighting,Nanlite Forza 60,65.86,2025-11-22 14:57:45,active
94,196,Lighting,Aputure 120d II,112.95,2026-04-14 04:34:16,inactive
95,179,Cameras,Fujifilm X-T4,39.52,2026-04-15 01:40:48,active
96,12,Lenses,Sigma 35mm Art,64.66,2026-02-21 00:52:15,inactive
97,98,Lighting,Nanlite Forza 60,98.2,2025-04-04 18:15:15,active
98,39,Lighting,Godox SL-60W,28.26,2026-01-09 05:03:35,inactive
99,85,Drones,Autel Evo Lite,25.47,2025-08-30 00:15:59,inactive
100,4,Cameras,Fujifilm X-T4,106.45,2026-01-01 10:01:11,inactive
101,20,Lighting,Aputure 120d II,50.55,2024-11-07 12:55:18,active
102,167,Drones,DJI Air 2S,104.5,2024-09-11 05:49:35,inactive
103,98,Lenses,Sigma 35mm Art,90.47,2024-12-12 07:22:43,active
104,139,Drones,DJI Mavic 3,39.65,2025-11-13 07:59:54,active
105,74,Cameras,Sony A7 IV,60.57,2025-08-31 17:25:18,active
106,163,Drones,Autel Evo Lite,32.47,2025-11-13 21:07:10,active
107,8,Drones,DJI Air 2S,98.6,2025-05-15 18:12:36,active
108,96,Lighting,Godox SL-60W,40.64,2025-09-23 16:34:25,active
109,175,Cameras,Canon EOS R5,33.38,2026-05-07 13:47:20,active
110,98,Cameras,Fujifilm X-T4,110.85,2026-04-17 07:24:59,active
111,119,Lenses,Sony FE 50mm f/1.2,41.81,2025-02-21 21:10:29,active
112,120,Lenses,Sigma 35mm Art,72.39,2025-04-15 22:53:49,active
113,89,Lenses,Sigma 35mm Art,116.01,2025-05-25 20:14:09,active
114,117,Lenses,Canon RF 24-70mm,119.93,2025-06-28 19:37:16,inactive
115,28,Cameras,Fujifilm X-T4,75.05,2025-10-30 20:57:58,active
116,180,Lenses,Canon RF 24-70mm,117.68,2025-01-11 01:51:32,active
117,71,Drones,DJI Mavic 3,110.61,2025-10-04 12:01:21,active
118,74,Cameras,Blackmagic Pocket 6K,38.0,2025-06-29 12:52:41,active
119,65,Cameras,Sony A7 IV,109.86,2024-11-19 11:20:08,active
120,80,Lighting,Godox SL-60W,75.86,2025-07-24 19:30:45,active
121,24,Lenses,Sony FE 50mm f/1.2,93.49,2025-12-10 12:06:16,active
122,34,Lenses,Sigma 35mm Art,67.69,2025-02-14 14:14:23,active
123,43,Lenses,Sony FE 50mm f/1.2,116.58,2025-12-27 01:41:42,active
124,87,Drones,Autel Evo Lite,116.1,2025-08-24 22:43:28,active
125,58,Lighting,Nanlite Forza 60,53.41,2025-08-01 01:42:47,active
126,4,Lenses,Sigma 35mm Art,27.98,2026-02-13 13:53:04,active
127,192,Lenses,Sigma 35mm Art,55.01,2025-08-08 11:33:04,active
128,96,Drones,DJI Mini 3 Pro,64.51,2024-11-23 11:52:45,active
129,144,Lenses,Sigma 35mm Art,38.24,2025-12-26 23:48:27,active
130,119,Lenses,Sigma 35mm Art,57.87,2026-03-14 06:09:29,active
131,10,Lenses,Sony FE 50mm f/1.2,27.19,2024-08-31 02:35:45,active
132,138,Cameras,Fujifilm X-T4,62.63,2025-05-16 12:41:00,active
133,191,Lighting,Nanlite Forza 60,92.94,2025-09-30 05:59:36,active
134,107,Drones,Autel Evo Lite,79.64,2025-07-28 20:55:47,inactive
135,72,Drones,DJI Air 2S,37.81,2025-01-17 20:34:28,active
136,61,Lenses,Canon RF 24-70mm,118.0,2024-08-04 13:39:07,active
137,166,Lenses,Canon RF 24-70mm,56.8,2026-03-08 17:49:02,active
138,32,Lighting,Godox SL-60W,84.59,2025-04-18 18:45:43,active
139,153,Drones,DJI Mavic 3,97.61,2024-11-06 15:50:00,active
140,33,Cameras,Sony A7 IV,102.13,2025-06-12 12:52:59,active
141,151,Cameras,Canon EOS R5,49.5,2025-07-13 22:47:14,active
142,153,Drones,DJI Air 2S,105.13,2025-07-09 08:44:27,active
143,34,Lenses,Canon RF 24-70mm,26.54,2025-04-12 17:35:27,inactive
144,34,Drones,DJI Air 2S,97.95,2025-09-05 04:59:07,active
145,83,Drones,DJI Mini 3 Pro,42.86,2024-09-18 07:19:47,active
146,108,Drones,DJI Mavic 3,65.01,2025-05-06 16:41:29,active
147,132,Drones,Autel Evo Lite,67.9,2026-01-04 06:15:44,inactive
148,12,Lenses,Sony FE 50mm f/1.2,82.55,2025-02-20 13:49:24,active
149,123,Lighting,Aputure 120d II,87.04,2025-11-27 09:10:37,active
150,114,Drones,DJI Mavic 3,48.82,2025-01-31 16:53:07,active
